,upper,lower,steer
0,ensemble_frames/upper/upper_8_9447920783.jpg,ensemble_frames/lower/lower_8_9447920783.jpg,8
1,ensemble_frames/upper/upper_8_9447920789.jpg,ensemble_frames/lower/lower_8_9447920789.jpg,8
2,ensemble_frames/upper/upper_8_9447920796.jpg,ensemble_frames/lower/lower_8_9447920796.jpg,8
3,ensemble_frames/upper/upper_8_9447920803.jpg,ensemble_frames/lower/lower_8_9447920803.jpg,8
4,ensemble_frames/upper/upper_8_9447920810.jpg,ensemble_frames/lower/lower_8_9447920810.jpg,8
5,ensemble_frames/upper/upper_8_9447920817.jpg,ensemble_frames/lower/lower_8_9447920817.jpg,8
6,ensemble_frames/upper/upper_8_9447920823.jpg,ensemble_frames/lower/lower_8_9447920823.jpg,8
7,ensemble_frames/upper/upper_8_9447920830.jpg,ensemble_frames/lower/lower_8_9447920830.jpg,8
8,ensemble_frames/upper/upper_8_9447920837.jpg,ensemble_frames/lower/lower_8_9447920837.jpg,8
9,ensemble_frames/upper/upper_8_9447920843.jpg,ensemble_frames/lower/lower_8_9447920843.jpg,8
10,ensemble_frames/upper/upper_8_9447920849.jpg,ensemble_frames/lower/lower_8_9447920849.jpg,8
11,ensemble_frames/upper/upper_8_9447920856.jpg,ensemble_frames/lower/lower_8_9447920856.jpg,8
12,ensemble_frames/upper/upper_8_9447920862.jpg,ensemble_frames/lower/lower_8_9447920862.jpg,8
13,ensemble_frames/upper/upper_8_9447920868.jpg,ensemble_frames/lower/lower_8_9447920868.jpg,8
14,ensemble_frames/upper/upper_8_9447920874.jpg,ensemble_frames/lower/lower_8_9447920874.jpg,8
15,ensemble_frames/upper/upper_8_9447920881.jpg,ensemble_frames/lower/lower_8_9447920881.jpg,8
16,ensemble_frames/upper/upper_8_9447920887.jpg,ensemble_frames/lower/lower_8_9447920887.jpg,8
17,ensemble_frames/upper/upper_8_9447920894.jpg,ensemble_frames/lower/lower_8_9447920894.jpg,8
18,ensemble_frames/upper/upper_8_9447920902.jpg,ensemble_frames/lower/lower_8_9447920902.jpg,8
19,ensemble_frames/upper/upper_8_9447920909.jpg,ensemble_frames/lower/lower_8_9447920909.jpg,8
20,ensemble_frames/upper/upper_8_9447920916.jpg,ensemble_frames/lower/lower_8_9447920916.jpg,8
21,ensemble_frames/upper/upper_8_9447920923.jpg,ensemble_frames/lower/lower_8_9447920923.jpg,8
22,ensemble_frames/upper/upper_8_9447920931.jpg,ensemble_frames/lower/lower_8_9447920931.jpg,8
23,ensemble_frames/upper/upper_8_9447920937.jpg,ensemble_frames/lower/lower_8_9447920937.jpg,8
24,ensemble_frames/upper/upper_10_9447920948.jpg,ensemble_frames/lower/lower_10_9447920948.jpg,10
25,ensemble_frames/upper/upper_12_9447920957.jpg,ensemble_frames/lower/lower_12_9447920957.jpg,12
26,ensemble_frames/upper/upper_15_9447920963.jpg,ensemble_frames/lower/lower_15_9447920963.jpg,15
27,ensemble_frames/upper/upper_15_9447920969.jpg,ensemble_frames/lower/lower_15_9447920969.jpg,15
28,ensemble_frames/upper/upper_16_9447920975.jpg,ensemble_frames/lower/lower_16_9447920975.jpg,16
29,ensemble_frames/upper/upper_16_9447920982.jpg,ensemble_frames/lower/lower_16_9447920982.jpg,16
30,ensemble_frames/upper/upper_16_9447920988.jpg,ensemble_frames/lower/lower_16_9447920988.jpg,16
31,ensemble_frames/upper/upper_16_9447920994.jpg,ensemble_frames/lower/lower_16_9447920994.jpg,16
32,ensemble_frames/upper/upper_16_9447921002.jpg,ensemble_frames/lower/lower_16_9447921002.jpg,16
33,ensemble_frames/upper/upper_16_9447921009.jpg,ensemble_frames/lower/lower_16_9447921009.jpg,16
34,ensemble_frames/upper/upper_16_9447921015.jpg,ensemble_frames/lower/lower_16_9447921015.jpg,16
35,ensemble_frames/upper/upper_18_9447921021.jpg,ensemble_frames/lower/lower_18_9447921021.jpg,18
36,ensemble_frames/upper/upper_18_9447921027.jpg,ensemble_frames/lower/lower_18_9447921027.jpg,18
37,ensemble_frames/upper/upper_18_9447921033.jpg,ensemble_frames/lower/lower_18_9447921033.jpg,18
38,ensemble_frames/upper/upper_19_9447921040.jpg,ensemble_frames/lower/lower_19_9447921040.jpg,19
39,ensemble_frames/upper/upper_19_9447921046.jpg,ensemble_frames/lower/lower_19_9447921046.jpg,19
40,ensemble_frames/upper/upper_19_9447921053.jpg,ensemble_frames/lower/lower_19_9447921053.jpg,19
41,ensemble_frames/upper/upper_23_9447921059.jpg,ensemble_frames/lower/lower_23_9447921059.jpg,23
42,ensemble_frames/upper/upper_23_9447921065.jpg,ensemble_frames/lower/lower_23_9447921065.jpg,23
43,ensemble_frames/upper/upper_23_9447921071.jpg,ensemble_frames/lower/lower_23_9447921071.jpg,23
44,ensemble_frames/upper/upper_23_9447921078.jpg,ensemble_frames/lower/lower_23_9447921078.jpg,23
45,ensemble_frames/upper/upper_23_9447921084.jpg,ensemble_frames/lower/lower_23_9447921084.jpg,23
46,ensemble_frames/upper/upper_23_9447921092.jpg,ensemble_frames/lower/lower_23_9447921092.jpg,23
47,ensemble_frames/upper/upper_23_9447921098.jpg,ensemble_frames/lower/lower_23_9447921098.jpg,23
48,ensemble_frames/upper/upper_23_9447921105.jpg,ensemble_frames/lower/lower_23_9447921105.jpg,23
49,ensemble_frames/upper/upper_26_9447921112.jpg,ensemble_frames/lower/lower_26_9447921112.jpg,26
50,ensemble_frames/upper/upper_27_9447921120.jpg,ensemble_frames/lower/lower_27_9447921120.jpg,27
51,ensemble_frames/upper/upper_28_9447921127.jpg,ensemble_frames/lower/lower_28_9447921127.jpg,28
52,ensemble_frames/upper/upper_28_9447921134.jpg,ensemble_frames/lower/lower_28_9447921134.jpg,28
53,ensemble_frames/upper/upper_29_9447921142.jpg,ensemble_frames/lower/lower_29_9447921142.jpg,29
54,ensemble_frames/upper/upper_29_9447921149.jpg,ensemble_frames/lower/lower_29_9447921149.jpg,29
55,ensemble_frames/upper/upper_31_9447921158.jpg,ensemble_frames/lower/lower_31_9447921158.jpg,31
56,ensemble_frames/upper/upper_31_9447921164.jpg,ensemble_frames/lower/lower_31_9447921164.jpg,31
57,ensemble_frames/upper/upper_31_9447921172.jpg,ensemble_frames/lower/lower_31_9447921172.jpg,31
58,ensemble_frames/upper/upper_31_9447921181.jpg,ensemble_frames/lower/lower_31_9447921181.jpg,31
59,ensemble_frames/upper/upper_31_9447921191.jpg,ensemble_frames/lower/lower_31_9447921191.jpg,31
60,ensemble_frames/upper/upper_31_9447921198.jpg,ensemble_frames/lower/lower_31_9447921198.jpg,31
61,ensemble_frames/upper/upper_31_9447921206.jpg,ensemble_frames/lower/lower_31_9447921206.jpg,31
62,ensemble_frames/upper/upper_31_9447921213.jpg,ensemble_frames/lower/lower_31_9447921213.jpg,31
63,ensemble_frames/upper/upper_31_9447921221.jpg,ensemble_frames/lower/lower_31_9447921221.jpg,31
64,ensemble_frames/upper/upper_31_9447921230.jpg,ensemble_frames/lower/lower_31_9447921230.jpg,31
65,ensemble_frames/upper/upper_31_9447921237.jpg,ensemble_frames/lower/lower_31_9447921237.jpg,31
66,ensemble_frames/upper/upper_31_9447921246.jpg,ensemble_frames/lower/lower_31_9447921246.jpg,31
67,ensemble_frames/upper/upper_31_9447921254.jpg,ensemble_frames/lower/lower_31_9447921254.jpg,31
68,ensemble_frames/upper/upper_31_9447921262.jpg,ensemble_frames/lower/lower_31_9447921262.jpg,31
69,ensemble_frames/upper/upper_31_9447921269.jpg,ensemble_frames/lower/lower_31_9447921269.jpg,31
70,ensemble_frames/upper/upper_31_9447921275.jpg,ensemble_frames/lower/lower_31_9447921275.jpg,31
71,ensemble_frames/upper/upper_31_9447921282.jpg,ensemble_frames/lower/lower_31_9447921282.jpg,31
72,ensemble_frames/upper/upper_31_9447921291.jpg,ensemble_frames/lower/lower_31_9447921291.jpg,31
